time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
306.5445,0.2184,0.8858,-0.5877,351.14,99.4654,136.7455
306.5556,0.2185,0.8857,-0.5877,351.1298,99.4605,136.7605
306.5667,0.2185,0.8857,-0.5878,351.1251,99.4343,136.7771
306.5778,0.2186,0.8857,-0.5876,351.11699999999996,99.4048,136.813
306.5889,0.2185,0.8857,-0.5876,351.1281,99.3827,136.8577
306.6,0.2184,0.8857,-0.5876,351.1401,99.3574,136.8855
306.6111,0.2186,0.8857,-0.5873,351.1354,99.3343,136.9169
306.6222,0.2186,0.8857,-0.5873,351.1221,99.3121,136.9453
306.6333,0.2186,0.8857,-0.5872,351.0785,99.2997,136.9677
306.6444,0.2184,0.8856,-0.5873,351.0488,99.2767,136.9835
306.6555,0.2184,0.8856,-0.5873,351.0372,99.2484,137.013
306.6667,0.2183,0.8855,-0.5872,351.0341,99.2115,137.034
306.6778,0.2183,0.8855,-0.5871,351.0439,99.1823,137.0513
306.6889,0.2182,0.8855,-0.5870000000000001,351.0481,99.1752,137.082
306.7,0.2181,0.8855,-0.5870000000000001,351.0365,99.182,137.0957
306.7111,0.2181,0.8855,-0.5870000000000001,351.0204,99.1842,137.112
306.7222,0.2181,0.8855,-0.5870000000000001,351.0204,99.1842,137.112
306.7333,0.2181,0.8854,-0.5870000000000001,351.0264,99.2053,137.1341
306.7444,0.2181,0.8854,-0.5870000000000001,351.0264,99.2053,137.1341
306.7556,0.218,0.8853,-0.5870000000000001,351.0148,99.1895,137.1489
306.7667,0.2181,0.8852,-0.5870000000000001,351.0133,99.1636,137.1595
306.7778,0.2181,0.8852,-0.5870000000000001,351.0168,99.1443,137.171
306.7889,0.2183,0.8852,-0.5868,351.0255,99.1263,137.1833
306.8,0.218,0.8855,-0.5867,351.0101,99.1039,137.1982
306.8111,0.218,0.8855,-0.5867,351.0144,99.1033,137.2038
306.8222,0.218,0.8856,-0.5865,351.0056,99.0962,137.2108
306.8333,0.2182,0.8854,-0.5866,350.9897,99.0825,137.2178
306.8445,0.2182,0.8854,-0.5865,350.9682,99.0529,137.2306
306.8556,0.2181,0.8854,-0.5865,350.9645,99.0309,137.2406
306.8667,0.2181,0.8854,-0.5865,350.965,99.0141,137.2645
306.8778,0.218,0.8853,-0.5864,350.9613,98.9969,137.2742
306.8889,0.2179,0.8853,-0.5864,350.9587,98.9841,137.2798
306.9,0.2178,0.8854,-0.5863,350.9474,98.9722,137.2876
306.9111,0.2178,0.8855,-0.5862,350.9247,98.9683,137.2933
306.9222,0.2178,0.8855,-0.5861,350.8902,98.93299999999999,137.2836
306.9333,0.2179,0.8854,-0.5861,350.8756,98.8858,137.2683
306.9445,0.218,0.8856,-0.5862,350.8741,98.8655,137.2606
306.9556,0.218,0.8857,-0.5861,350.8701,98.8391,137.2734
306.9667,0.2178,0.8858,-0.5858,350.8644,98.8093,137.2925
306.9778,0.2178,0.8858,-0.5856,350.8329,98.7308,137.2978
306.9889,0.2177,0.8858,-0.5854,350.8242,98.6173,137.2685
307.0,0.2177,0.8858,-0.5851,350.8185,98.5172,137.2133
