time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
438.3667,-0.0425,0.79,-0.105,0.0,0.0,0.0
438.3778,-0.0425,0.79,-0.105,0.0002,0.0002,0.0002
438.3889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4,-0.0425,0.79,-0.105,0.0005,0.0005,0.0005
438.4111,-0.0425,0.79,-0.105,0.0005,0.0005,0.0005
438.4222,-0.0425,0.79,-0.105,0.0005,0.0005,0.0005
438.4333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.4889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5334,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.5889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.6889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7444,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.7889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.8889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
438.9889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0334,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.0889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1445,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1778,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.1889,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2111,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2222,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2333,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2444,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2556,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2667,-0.0425,0.79,-0.105,0.0004,0.0004,0.0004
439.2778,-0.0432,0.7905,-0.1054,359.786,359.786,359.786
439.2889,-0.0441,0.7903,-0.1048,0.9347,0.9347,0.9347
439.3,-0.0453,0.7905,-0.1046,1.2562,1.2562,1.2562
439.3111,-0.0463,0.7906,-0.1048,1.6356,1.6356,1.6356
439.3222,-0.0473,0.7906,-0.1049,1.7690000000000001,1.7690000000000001,1.7690000000000001
439.3333,-0.0476,0.7909,-0.1049,2.2895,2.2895,2.2895
439.3445,-0.0477,0.7908,-0.1047,2.414,2.414,2.414
439.3556,-0.0478,0.7907,-0.1044,2.4693,2.4693,2.4693
439.3667,-0.0478,0.7906,-0.1043,1.7207,1.7207,1.7207
439.3778,-0.0482,0.7903,-0.1045,1.6545,1.6545,1.6545
439.3889,-0.049,0.7905,-0.1049,1.7294,1.7294,1.7294
439.4,-0.0501,0.7901,-0.1055,1.8149,1.8149,1.8149
439.4111,-0.0519,0.79,-0.1067,1.8432,1.8432,1.8432
439.4222,-0.054000000000000006,0.7901,-0.1084,1.9308,1.9308,1.9308
439.4333,-0.0563,0.79,-0.1103,1.9912,1.9912,1.9912
439.4445,-0.0585,0.79,-0.1122,2.1746,2.1746,2.1746
439.4556,-0.061,0.7904,-0.1137,2.4174,2.4174,2.4174
439.4667,-0.0644,0.7903,-0.1157,2.224,2.224,2.224
439.4778,-0.0697,0.7902,-0.1184,2.0844,2.0844,2.0844
439.4889,-0.0753,0.7899,-0.1217,1.9527,1.9527,1.9527
439.5,-0.0809,0.7898,-0.1251,1.9802,1.9802,1.9802
439.5111,-0.0869,0.7899,-0.1287,2.1067,2.1067,2.1067
439.5222,-0.0923,0.7899,-0.1325,2.2812,2.2812,2.2812
439.5334,-0.0974,0.7899,-0.1361,2.5653,2.5653,2.5653
