time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
362.2222,0.0339,0.7861,-0.3233,304.7663,355.591,1.3475
362.2333,0.0343,0.7861,-0.3232,304.836,355.49199999999996,1.2765
362.2444,0.0342,0.7859999999999999,-0.3231,304.8711,355.501,1.2936
362.2556,0.0343,0.7859,-0.3229,304.8391,355.6135,1.2228
362.2667,0.0344,0.7859,-0.3226,304.785,355.8383,1.0435
362.2778,0.0344,0.7857,-0.3226,304.6996,355.9905,0.9801
362.2889,0.0345,0.7856,-0.3223,304.6214,356.0591,0.9935
362.3,0.0347,0.7856,-0.3222,304.5706,356.0712,1.0051
362.3111,0.0348,0.7857,-0.3218,304.5247,355.9828,1.0751
362.3222,0.035,0.7858,-0.3217,304.5131,355.7696,1.1827
362.3333,0.035,0.7858,-0.3214,304.5258,355.4957,1.3026
362.3445,0.0351,0.7859,-0.3212,304.5362,355.2545,1.4384
362.3556,0.0351,0.7859999999999999,-0.321,304.5179,355.0343,1.5796
362.3667,0.0348,0.7859,-0.3208,304.4697,354.9668,1.6322
362.3778,0.0347,0.7859,-0.3208,304.4158,354.9533,1.6868
362.3889,0.0345,0.7861,-0.3206,304.316,354.9118,1.8873
362.4,0.0346,0.7863,-0.3205,304.2272,354.7759,2.06
362.4111,0.0346,0.7864,-0.3205,304.0973,354.5554,2.2553
362.4222,0.0345,0.7866,-0.3206,303.9508,354.2582,2.5193
362.4333,0.0346,0.7868,-0.3207,303.7904,353.9292,2.9222
362.4445,0.0343,0.7871,-0.3208,303.6491,353.5893,3.3557
362.4556,0.0342,0.7872,-0.3211,303.4665,353.249,3.8095
362.4667,0.0341,0.7873,-0.3213,303.28700000000003,353.0304,4.1144
362.4778,0.034,0.7872,-0.3216,303.1382,352.8643,4.3568
362.4889,0.034,0.7873,-0.3221,303.051,352.67,4.5922
362.5,0.0339,0.7874,-0.3224,302.959,352.4565,4.8263
362.5111,0.0337,0.7876,-0.3228,302.9424,352.2608,4.878
362.5222,0.0337,0.7877,-0.3231,302.8987,352.0854,4.9151
362.5334,0.0338,0.7876,-0.3234,302.8835,351.9516,4.8761
362.5445,0.0337,0.7877,-0.3237,302.856,351.76099999999997,4.9814
362.5556,0.0336,0.7876,-0.3238,302.8387,351.5593,5.2613
362.5667,0.0334,0.7874,-0.3242,302.7776,351.4049,5.4984
362.5778,0.0335,0.7873,-0.3245,302.7235,351.2438,5.7012
362.5889,0.0335,0.787,-0.3246,302.6742,351.079,5.9171
362.6,0.0337,0.7871,-0.3249,302.6289,350.9337,6.0945
362.6111,0.0338,0.7869,-0.3252,302.6107,350.8223,6.2631
362.6222,0.0339,0.7867,-0.3255,302.5996,350.7322,6.4166
362.6333,0.034,0.7865,-0.3257,302.6187,350.6954,6.5153
362.6444,0.0342,0.7862,-0.3258,302.6273,350.6472,6.5928
362.6556,0.0344,0.7859999999999999,-0.326,302.6375,350.6135,6.6639
362.6667,0.0345,0.7856,-0.3261,302.6505,350.6064,6.7469
362.6778,0.0346,0.7855,-0.3261,302.6619,350.5905,6.8294
362.6889,0.0348,0.7853,-0.3259,302.6885,350.5354,6.936
362.7,0.035,0.7852,-0.326,302.7037,350.4703,7.04
362.7111,0.0352,0.7851,-0.326,302.7347,350.4079,7.1008
362.7222,0.0354,0.7849,-0.326,302.7824,350.3271,7.1366
362.7333,0.0358,0.785,-0.3261,302.8156,350.2599,7.1923
362.7444,0.0361,0.7848,-0.3262,302.8626,350.2408,7.1743
362.7556,0.0362,0.7847,-0.3265,302.8984,350.2438,7.1286
362.7667,0.0364,0.7845,-0.3267,302.9135,350.3002,6.9779
362.7778,0.0365,0.7844,-0.3269,302.9262,350.3943,6.8205
362.7889,0.0366,0.7844,-0.3274,302.923,350.4316,6.7394
362.8,0.0365,0.7841,-0.3277,302.9095,350.4689,6.6374
362.8111,0.0366,0.784,-0.3282,302.8366,350.505,6.4771
362.8222,0.0367,0.7838,-0.3283,302.8065,350.4899,6.3653
362.8333,0.0368,0.7838,-0.3288,302.7601,350.376,6.3736
362.8445,0.0368,0.7837,-0.3293,302.7211,350.1953,6.4525
362.8556,0.0369,0.7835,-0.3299,302.6742,349.9778,6.5322
362.8667,0.0368,0.7832,-0.3305,302.644,349.7656,6.6415
362.8778,0.0369,0.7828,-0.3313,302.6229,349.5966,6.7211
362.8889,0.037000000000000005,0.7824,-0.3324,302.6138,349.3967,6.7908
362.9,0.0371,0.7818,-0.3332,302.598,349.2455,6.8368
362.9111,0.0372,0.7812,-0.3341,302.6013,349.1499,6.84
362.9222,0.0374,0.7807,-0.335,302.6159,349.0872,6.7865
362.9333,0.0376,0.7801,-0.3358,302.6567,348.9944,6.7765
362.9445,0.0377,0.7797,-0.3366,302.7401,348.9398,6.7654
362.9556,0.038,0.7791,-0.3373,302.8324,348.9341,6.747000000000001
362.9667,0.0385,0.7786,-0.3381,302.9056,348.9417,6.7591
362.9778,0.0388,0.7782,-0.3389,302.9782,348.9388,6.7728
362.9889,0.0392,0.7777,-0.3395,303.0484,348.9661,6.7827
363.0,0.0399,0.7774,-0.3401,303.1186,349.05,6.7327
363.0111,0.0403,0.777,-0.3407,303.2068,349.1494,6.6884
363.0222,0.0407,0.7766,-0.3414,303.2914,349.2504,6.6729
363.0334,0.0413,0.7763,-0.3418,303.3866,349.3389,6.656000000000001
363.0445,0.0417,0.7759999999999999,-0.3421,303.4815,349.4449,6.6085
363.0556,0.0421,0.7757,-0.3424,303.589,349.5038,6.6203
363.0667,0.0421,0.7753,-0.3427,303.6902,349.5495,6.6337
363.0778,0.0424,0.7751,-0.3428,303.7557,349.5822,6.5712
363.0889,0.0428,0.775,-0.3427,303.8166,349.6577,6.5069
363.1,0.0428,0.7748,-0.3427,303.7976,349.7217,6.5172
363.1111,0.0429,0.7747,-0.3426,303.7837,349.7391,6.6341
363.1222,0.0432,0.7748,-0.3425,303.7488,349.7311,6.7362
363.1333,0.0434,0.7748,-0.3422,303.7386,349.7216,6.8067
363.1444,0.0432,0.775,-0.3417,303.7056,349.6707,6.9464
363.1556,0.0434,0.7752,-0.3412,303.6603,349.6284,7.1145
363.1667,0.0434,0.7753,-0.3407,303.6006,349.551,7.3288
363.1778,0.0434,0.7754,-0.34,303.5464,349.473,7.553999999999999
363.1889,0.0435,0.7756,-0.3392,303.5022,349.3943,7.7746
363.2,0.0438,0.7756,-0.3384,303.4486,349.3079,8.0117
363.2111,0.0439,0.7757,-0.3373,303.4038,349.2158,8.3283
363.2222,0.0442,0.7758,-0.3362,303.3404,349.1283,8.6466
363.2333,0.0445,0.7757,-0.3351,303.2162,349.0033,9.0028
363.2444,0.0452,0.7755,-0.3339,303.0648,348.88199999999995,9.3562
363.2556,0.0462,0.7756,-0.3326,302.7921,348.6028,9.9629
363.2667,0.0472,0.7754,-0.3308,302.4329,348.22900000000004,10.7572
363.2778,0.0484,0.7752,-0.3289,302.0192,347.7939,11.7404
363.2889,0.05,0.7751,-0.3268,301.5281,347.3922,12.8158
363.3,0.0516,0.7747,-0.3245,300.9568,346.9958,13.9955
363.3111,0.053,0.7745,-0.3222,300.4378,346.6134,15.1234
363.3222,0.0549,0.7739,-0.3192,299.7627,346.0672,16.6832
363.3333,0.057,0.7735,-0.3164,299.149,345.3263,18.6654
363.3445,0.0594,0.7732,-0.3136,298.6104,344.6463,20.6358
363.3556,0.0621,0.7732,-0.3106,298.0645,344.1502,22.2314
363.3667,0.0644,0.7732,-0.3078,297.5151,343.7803,23.4827
363.3778,0.0669,0.7732,-0.3048,296.9338,343.3513,24.8271
363.3889,0.0696,0.7732,-0.3015,296.181,342.8534,26.4675
363.4,0.0721,0.7731,-0.2984,295.3622,342.147,28.4693
363.4111,0.0749,0.7729,-0.2951,294.3646,340.9945,30.9975
363.4222,0.0779,0.7729,-0.2918,293.3668,339.3535,33.9801
363.4333,0.0807,0.7728,-0.2883,292.315,337.147,37.6729
363.4445,0.0836,0.7727,-0.2849,291.4343,334.9289,41.2548
363.4556,0.0861,0.7724,-0.2817,290.6299,332.3699,45.223
363.4667,0.0887,0.7726,-0.2787,290.0152,329.3285,49.6457
363.4778,0.0914,0.7729,-0.2755,289.5273,326.1381,54.0797
363.4889,0.0936,0.773,-0.2725,289.0713,322.9601,58.3877
363.5,0.0958,0.7733,-0.2695,288.6263,319.6155,62.8834
363.5111,0.0977,0.7737,-0.2666,288.1131,316.0098,67.3924
363.5222,0.0997,0.7738,-0.2638,287.6898,312.0885,72.3173
363.5334,0.1014,0.7739,-0.2608,287.3159,307.6848,77.7502
363.5445,0.1033,0.7739,-0.2577,287.1937,303.1791,83.411
363.5556,0.105,0.7741,-0.2547,287.2556,298.4508,89.3075
363.5667,0.1066,0.7741,-0.2516,287.5814,293.9555,94.8146
363.5778,0.1083,0.774,-0.2486,288.0377,289.8212,99.9019
363.5889,0.1098,0.7742,-0.2457,288.7402,286.4886,104.0748
363.6,0.111,0.7742,-0.2428,289.496,283.6143,107.81299999999999
363.6111,0.1122,0.7739,-0.2402,290.2518,280.8729,111.5498
363.6222,0.113,0.7736,-0.2373,291.03700000000003,278.2979,115.2445
363.6333,0.1136,0.7731,-0.2345,291.7256,276.0898,118.6057
363.6444,0.1145,0.7725,-0.2315,292.5089,274.077,121.6024
363.6556,0.1157,0.772,-0.2288,293.2473,272.1784,124.0777
363.6667,0.1165,0.7713,-0.2261,294.0785,270.3876,126.5164
363.6778,0.1172,0.7707,-0.2235,295.0366,269.0041,128.8403
363.6889,0.1178,0.7699,-0.2211,296.028,268.0685,130.4844
363.7,0.1185,0.7692,-0.2189,296.9938,267.3836,131.6063
363.7111,0.11900000000000001,0.7688,-0.2174,297.9756,267.3032,132.0598
363.7222,0.1195,0.7685,-0.21600000000000003,298.9272,267.6286,132.009
363.7333,0.1202,0.7681,-0.2145,299.8058,267.8152,132.2017
363.7444,0.1203,0.7679,-0.2135,300.5741,268.2564,132.1623
363.7556,0.1204,0.7675,-0.2129,301.2315,268.4305,132.2889
