time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
929.2556,-0.223,0.7789,-0.255,342.4992,333.1405,324.3232
929.2667,-0.2231,0.7789,-0.2548,342.49800000000005,333.1346,324.2947
929.2778,-0.2233,0.7788,-0.2546,342.5059,333.12800000000004,324.2885
929.2889,-0.2233,0.7787,-0.2544,342.4721,333.1442,324.2861
929.3,-0.2232,0.7789,-0.2541,342.44199999999995,333.1656,324.2987
929.3112,-0.2233,0.779,-0.2539,342.4328,333.226,324.245
929.3223,-0.2233,0.779,-0.2538,342.4486,333.3208,324.1225
929.3334,-0.2232,0.7793,-0.2536,342.4286,333.4416,323.9644
929.3445,-0.2232,0.7794,-0.2534,342.426,333.4697,323.9276
929.3556,-0.2232,0.7795,-0.2532,342.4614,333.4789,323.9633
929.3667,-0.2232,0.7795,-0.253,342.4781,333.4554,324.0027
929.3778,-0.2232,0.7796,-0.2528,342.4949,333.4783,323.9837
929.3889,-0.2233,0.7797,-0.2528,342.5694,333.5297,324.0063
929.4,-0.2233,0.7798,-0.2529,342.6298,333.6031,323.9624
929.4111,-0.2233,0.7798,-0.2529,342.6524,333.6621,323.8867
929.4222,-0.2232,0.7798,-0.253,342.6462,333.6462,323.8449
929.4333,-0.2233,0.7796,-0.253,342.6292,333.5847,323.8811
929.4445,-0.2232,0.7795,-0.2531,342.6018,333.555,323.8394
929.4556,-0.223,0.7792,-0.2532,342.5611,333.5493,323.8068
929.4667,-0.2229,0.7791,-0.2534,342.541,333.5213,323.8102
929.4778,-0.2227,0.7788,-0.2534,342.5665,333.514,323.8092
929.4889,-0.2228,0.7787,-0.2535,342.6084,333.50699999999995,323.8145
929.5,-0.2226,0.7784,-0.2536,342.6685,333.5174,323.8173
929.5111,-0.2225,0.7781,-0.2536,342.7151,333.5196,323.8393
929.5222,-0.2225,0.7778,-0.2536,342.7752,333.5217,323.9178
929.5334,-0.2224,0.7776,-0.2537,342.8359,333.5365,323.9838
929.5445,-0.2224,0.7773,-0.2538,342.9151,333.58099999999996,323.9502
929.5556,-0.2225,0.7772,-0.2539,342.9908,333.6353,323.8604
929.5667,-0.2225,0.7771,-0.254,343.0705,333.7086,323.7012
929.5778,-0.2225,0.7769,-0.2541,343.1376,333.7488,323.6758
929.5889,-0.2226,0.7768,-0.2542,343.2142,333.76099999999997,323.7012
929.6,-0.2228,0.7765,-0.2544,343.2639,333.7413,323.7339
929.6111,-0.2228,0.7763,-0.2547,343.2759,333.6738,323.7588
929.6223,-0.2229,0.7762,-0.2549,343.2625,333.5959,323.7832
929.6334,-0.2227,0.7762,-0.2551,343.1936,333.4883,323.7816
929.6445,-0.2227,0.7761,-0.2553,343.1259,333.4186,323.7482
929.6556,-0.2226,0.7759999999999999,-0.2555,343.0523,333.3576,323.7612
929.6667,-0.2226,0.7758,-0.2557,343.01300000000003,333.3108,323.8138
929.6778,-0.2225,0.7758,-0.2558,343.0223,333.3022,323.88599999999997
929.6889,-0.2226,0.7758,-0.2559,343.0429,333.3385,323.8797
929.7,-0.2223,0.7758,-0.256,343.0706,333.3548,323.8566
929.7111,-0.222,0.7757,-0.2562,343.1205,333.355,323.8648
929.7222,-0.2217,0.7757,-0.2564,343.1597,333.3547,323.8452
929.7333,-0.2213,0.7757,-0.2568,343.2083,333.3653,323.7809
929.7444,-0.221,0.7757,-0.257,343.2326,333.3644,323.7516
929.7556,-0.2205,0.7756,-0.2573,343.2126,333.3768,323.6198
929.7667,-0.2201,0.7756,-0.2576,343.1598,333.3926,323.5703
929.7778,-0.2197,0.7755,-0.2578,343.1292,333.3927,323.5643
929.7889,-0.2193,0.7754,-0.258,343.1181,333.3608,323.6244
929.8,-0.2188,0.7754,-0.2583,343.0796,333.3263,323.6859
929.8112,-0.2184,0.7752,-0.2585,343.0218,333.2916,323.7002
929.8223,-0.218,0.775,-0.2588,342.9742,333.278,323.7221
929.8334,-0.2177,0.7748,-0.2589,342.925,333.2533,323.8155
929.8445,-0.2174,0.7745,-0.259,342.8838,333.2256,323.8933
929.8556,-0.2172,0.7744,-0.2592,342.8196,333.19199999999995,323.9688
929.8667,-0.2169,0.774,-0.2591,342.7494,333.1317,324.1284
929.8778,-0.2164,0.7736,-0.2591,342.7049,333.1094,324.1791
929.8889,-0.21600000000000003,0.7733,-0.259,342.7129,333.1346,324.1596
929.9,-0.2154,0.7732,-0.259,342.8365,333.2383,324.0598
929.9111,-0.2148,0.773,-0.2589,342.9453,333.3184,324.0143
929.9222,-0.2142,0.773,-0.2588,343.1132,333.4226,324.0006
929.9333,-0.2134,0.773,-0.2589,343.25300000000004,333.5178,323.9895
929.9445,-0.2122,0.7731,-0.2591,343.4398,333.57599999999996,323.9644
929.9556,-0.2107,0.773,-0.2594,343.6068,333.5908,323.9108
929.9667,-0.2094,0.7732,-0.2599,343.7365,333.6014,323.8307
929.9778,-0.2077,0.7735,-0.2605,343.7247,333.6219,323.6477
929.9889,-0.2062,0.7738,-0.261,343.6393,333.6534,323.4822
930.0,-0.2041,0.7742,-0.2617,343.3408,333.6862,323.3109
930.0111,-0.20199999999999999,0.7745,-0.2625,343.0075,333.7026,323.2291
930.0222,-0.2,0.7749,-0.2634,342.7743,333.7168,323.2172
930.0334,-0.19699999999999998,0.7753,-0.2646,342.465,333.6741,323.5125
930.0445,-0.1946,0.7755,-0.2656,342.2334,333.63199999999995,323.7025
930.0556,-0.1917,0.7756,-0.2668,341.93699999999995,333.5395,323.9617
930.0667,-0.18899999999999997,0.7754,-0.2679,341.6138,333.4175,324.2966
930.0778,-0.1862,0.7754,-0.2689,341.3091,333.3111,324.6241
930.0889,-0.183,0.7751,-0.27,340.9847,333.1454,325.1714
930.1,-0.1799,0.7749,-0.271,340.6888,333.0577,325.5938
930.1111,-0.1767,0.7747,-0.272,340.4106,332.9844,325.9536
930.1223,-0.1733,0.7746,-0.2732,340.1151,332.9632,326.2438
930.1334,-0.1698,0.7745,-0.2741,339.846,332.9838,326.4585
930.1445,-0.1663,0.7746,-0.275,339.5827,332.9946,326.643
930.1556,-0.1625,0.7746,-0.2757,339.3318,333.0887,326.6542
930.1667,-0.1587,0.7746,-0.2764,339.1165,333.189,326.7999
930.1778,-0.1547,0.7744,-0.2772,338.9174,333.2743,327.0698
930.1889,-0.1508,0.7743,-0.2779,338.7242,333.3508,327.3835
930.2,-0.1467,0.7741,-0.2784,338.4948,333.4914,327.6882
930.2111,-0.1425,0.774,-0.2789,338.2492,333.6134,327.9135
930.2222,-0.1381,0.7737,-0.2791,337.9819,333.7574,328.1783
930.2333,-0.1336,0.7736,-0.2795,337.7416,333.8878,328.4517
930.2444,-0.1292,0.7733,-0.2796,337.5074,334.0015,328.7172
930.2556,-0.1247,0.773,-0.2798,337.2304,334.1474,328.93199999999996
930.2667,-0.12,0.7725,-0.2798,336.8957,334.3444,329.2027
930.2778,-0.1154,0.772,-0.2799,336.5797,334.5409,329.5844
930.2889,-0.1104,0.7711,-0.2797,336.168,334.7328,330.256
930.3,-0.1056,0.7703,-0.2795,335.8096,334.9225,330.8489
930.3112,-0.1006,0.7693,-0.2791,335.4684,335.1244,331.3777
930.3223,-0.0956,0.7682,-0.2786,335.1906,335.3151,332.1003
930.3334,-0.0907,0.7671,-0.2782,334.9755,335.5342,332.6831
930.3445,-0.0858,0.7661,-0.2777,334.9015,335.806,333.2427
930.3556,-0.0807,0.7648,-0.2772,334.9057,336.1055,333.7361
930.3667,-0.0754,0.7637,-0.2766,334.9347,336.5038,334.0455
930.3778,-0.0702,0.7626,-0.2761,334.9606,336.8253,334.4177
930.3889,-0.065,0.7612,-0.2754,334.9829,337.1472,334.8264
930.4,-0.0597,0.7598,-0.2747,334.9613,337.4661,335.1925
930.4111,-0.0544,0.7583,-0.2736,334.8371,337.7624,335.5919
930.4222,-0.0492,0.7567,-0.2727,334.6841,338.0245,336.4273
930.4333,-0.0438,0.7549,-0.2717,334.4618,338.2923,337.5056
930.4445,-0.0385,0.7533,-0.271,334.2678,338.5959,338.4656
930.4556,-0.033,0.7517,-0.2703,334.278,339.0416,339.0662
930.4667,-0.0277,0.7501,-0.2695,334.3351,339.3972,339.593
930.4778,-0.0225,0.7488,-0.26899999999999996,334.5219,339.8116,339.8904
930.4889,-0.0173,0.7475,-0.2685,334.85400000000004,340.30300000000005,340.0914
930.5,-0.0121,0.7464,-0.2679,335.2733,340.8049,340.1528
930.5111,-0.0071,0.7452,-0.2676,335.6135,341.3433,340.1333
930.5222,-0.0022,0.7443,-0.2669,336.0273,341.9705,339.8267
930.5334,0.0025,0.7435,-0.2665,336.3423,342.589,339.6216
930.5445,0.0073,0.7427,-0.2659,335.4873,343.4948,338.9171
930.5556,0.0116,0.7425,-0.2651,332.9355,346.3907,333.9987
930.5667,0.0159,0.7425,-0.2645,331.5334,351.0866,325.0595
930.5778,0.0198,0.7425,-0.2637,332.2247,353.3197,320.805
930.5889,0.0239,0.7425,-0.2629,332.3194,354.0878,320.2862
930.6,0.0281,0.7425,-0.2619,332.9865,354.4973,320.5392
930.6111,0.0319,0.7425,-0.2608,333.5983,354.1008,322.47
930.6223,0.0357,0.7425,-0.2596,334.2948,354.4696,322.6327
930.6334,0.0394,0.7425,-0.2585,334.5963,354.3824,323.7632
930.6445,0.0428,0.7425,-0.2572,335.2477,354.4997,324.2943
930.6556,0.0461,0.7425,-0.2558,336.5253,354.2871,325.1993
930.6667,0.0491,0.7425,-0.2541,337.6007,354.1158,326.0143
930.6778,0.0521,0.7425,-0.2524,337.6893,354.5655,325.83099999999996
930.6889,0.0547,0.7425,-0.2503,340.2878,353.7907,327.8398
930.7,0.057,0.7425,-0.2481,340.5344,353.6699,329.20300000000003
930.7111,0.0593,0.7425,-0.2458,340.9312,353.8075,330.0459
930.7222,0.061,0.7425,-0.2433,342.6147,353.1487,332.9098
930.7333,0.0628,0.7425,-0.2407,342.5219,353.6403,332.9299
930.7444,0.0643,0.7425,-0.2378,341.8007,352.77099999999996,336.2561
930.7556,0.0653,0.743,-0.2339,335.5855,351.2744,341.11699999999996
930.7667,0.0657,0.7448,-0.2306,335.2735,351.3842,341.2383
930.7778,0.0659,0.747,-0.2272,334.8967,351.3876,341.3603
930.7889,0.0661,0.7491,-0.2237,334.4954,351.3688,341.5883
930.8,0.0653,0.7515,-0.2198,333.9563,351.2263,342.0212
930.8112,0.0643,0.7545,-0.2155,333.3846,351.0865,342.5432
930.8223,0.0632,0.7575,-0.2113,332.8106,351.0173,343.0318
930.8334,0.0622,0.7605,-0.207,332.2794,351.0097,343.4706
930.8445,0.0605,0.7638,-0.2023,331.6819,350.9888,343.9161
930.8556,0.0587,0.767,-0.1977,331.0594,350.9157,344.2426
930.8667,0.0567,0.7701,-0.1927,330.415,350.7933,344.4917
930.8778,0.0548,0.7731,-0.1878,329.82,350.6605,344.7756
930.8889,0.0523,0.7758,-0.1824,329.3396,350.4799,345.0153
930.9,0.0501,0.7785,-0.1772,328.8848,350.4067,345.2807
930.9111,0.0478,0.7809,-0.1721,328.5717,350.4857,345.5569
930.9222,0.0452,0.7832,-0.1668,328.3437,350.7277,345.8891
930.9333,0.0425,0.7855,-0.1617,328.1126,351.0041,346.1294
930.9445,0.0398,0.7875,-0.1571,328.1702,351.5393,346.0791
930.9556,0.0369,0.7898,-0.1524,328.0895,351.8426,346.0766
930.9667,0.0341,0.7919,-0.14800000000000002,327.9971,352.0063,345.9392
930.9778,0.0311,0.7935,-0.1439,327.7924,351.9293,345.755
930.9889,0.0281,0.7949,-0.1398,327.5259,351.6506,345.6895
931.0,0.0249,0.7964,-0.1357,327.2592,351.4183,345.7488
931.0111,0.0218,0.7972,-0.1317,326.976,350.9995,346.0601
931.0222,0.0187,0.7974,-0.1279,326.6971,350.5596,346.7928
