time,FailOnTouchObstacleShort_pos_x,FailOnTouchObstacleShort_pos_y,FailOnTouchObstacleShort_pos_z,FailOnTouchObstacleShort_rot_x,FailOnTouchObstacleShort_rot_y,FailOnTouchObstacleShort_rot_z
428.3111,-0.0375,0.79,-0.105,0.0,0.0,0.0
428.3222,-0.0375,0.79,-0.105,-0.001,-0.001,-0.001
428.3333,-0.0375,0.79,-0.105,-0.002,-0.002,-0.002
428.3445,-0.0375,0.79,-0.105,-0.0024,-0.0024,-0.0024
428.3556,-0.0375,0.79,-0.105,-0.0025,-0.0025,-0.0025
428.3667,-0.0375,0.79,-0.105,-0.0023,-0.0023,-0.0023
428.3778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.3889,-0.0375,0.79,-0.105,-0.0021,-0.0021,-0.0021
428.4,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.4889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5334,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.5889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6444,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.6889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7444,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.7889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
428.8667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
