time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
214.9222,0.0225,0.79,0.055,0.0,0.0,0.0
214.9333,0.0225,0.79,0.055,-0.001,-0.001,-0.001
214.9444,0.0225,0.79,0.055,-0.002,-0.002,-0.002
214.9556,0.0225,0.79,0.055,-0.0024,-0.0024,-0.0024
214.9667,0.0225,0.79,0.055,-0.0025,-0.0025,-0.0025
214.9778,0.0225,0.79,0.055,-0.0023,-0.0023,-0.0023
214.9889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0111,0.0225,0.79,0.055,-0.0021,-0.0021,-0.0021
215.0222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.0889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.1889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.2889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.3889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.4889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.5889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.6889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.7889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
215.8778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
