start_time,end_time,dominant_object,non_dominant_object,interaction_type
1063.567,1063.667,Hand,FailOnTouchObstacleShort,LeftGate
1063.567,1063.667,Hand,FailOnTouchObstacleMed,LeftGate
1063.567,1063.667,Hand,FailOnTouchObstacleLong,RightGate
1063.589,1063.678,HandToWrist,FailOnTouchObstacleShort,LeftGate
1063.589,1063.678,HandToWrist,FailOnTouchObstacleMed,LeftGate
1063.589,1063.678,HandToWrist,FailOnTouchObstacleLong,RightGate
1063.7,1065.556,WristToElbow,FailOnTouchObstacleLong,RightGate
1063.7,1065.556,WristToElbow,FailOnTouchObstacleMed,LeftGate
1063.7,1065.556,WristToElbow,FailOnTouchObstacleShort,LeftGate
1063.8,1064.078,Hand,FailOnTouchObstacleMed-1,LeftGate
1063.8,1064.078,Hand,FailOnTouchObstacleLong-1,RightGate
1063.833,1064.722,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
1063.833,1064.722,HandToWrist,FailOnTouchObstacleLong-1,RightGate
1064.0330000000001,1065.0439999999999,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
1064.0330000000001,1065.0439999999999,WristToElbow,FailOnTouchObstacleLong-1,RightGate
1064.691,,Hand,Target,PickedUp
1064.789,1065.256,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
1064.789,1065.256,HandToWrist,FailOnTouchObstacleLong-1,RightGate
1065.0,1065.3,Hand,FailOnTouchObstacleLong-1,RightGate
1065.0,1065.3,Hand,FailOnTouchObstacleMed-1,LeftGate
1065.444,1065.645,HandToWrist,FailOnTouchObstacleLong,RightGate
1065.444,1065.645,HandToWrist,FailOnTouchObstacleMed,LeftGate
1065.444,1065.645,HandToWrist,FailOnTouchObstacleShort,LeftGate
1065.511,1065.656,Hand,FailOnTouchObstacleLong,RightGate
1065.511,1065.656,Hand,FailOnTouchObstacleMed,LeftGate
1065.511,1065.656,Hand,FailOnTouchObstacleShort,LeftGate
