directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,type,hand_only,start_timeout,each_half_timeout,shared_trial,trial_name,start_pos_x,start_moved_time,target_reached_time,outcome,interaction_log,HandTracker_movement_filename,WristTracker_movement_filename,ElbowTracker_movement_filename,ShoulderTracker_movement_filename,grid_objects_movement_filename
basic/ICRA19/S001,basic,ICRA19,1,1,1,1,71.78007,78.61111,practice,False,5,System.Single[],,,0.0,75.06667,,ArmInteraction,interaction_log_T001.csv,HandTracker_movement_T001.csv,WristTracker_movement_T001.csv,ElbowTracker_movement_T001.csv,ShoulderTracker_movement_T001.csv,grid_objects_movement_T001.csv
basic/ICRA19/S001,basic,ICRA19,1,2,1,2,86.8714,102.5659,practice,False,5,System.Single[],,,0.0,87.55556,,FirstHalfTimeout,interaction_log_T002.csv,HandTracker_movement_T002.csv,WristTracker_movement_T002.csv,ElbowTracker_movement_T002.csv,ShoulderTracker_movement_T002.csv,grid_objects_movement_T002.csv
basic/ICRA19/S001,basic,ICRA19,1,3,1,3,110.1171,111.1222,practice,False,5,System.Single[],,,0.0,110.1333,,ArmInteraction,interaction_log_T003.csv,HandTracker_movement_T003.csv,WristTracker_movement_T003.csv,ElbowTracker_movement_T003.csv,ShoulderTracker_movement_T003.csv,grid_objects_movement_T003.csv
basic/ICRA19/S001,basic,ICRA19,1,4,1,4,114.7753,121.7444,practice,False,5,System.Single[],,,0.0,115.6444,,ArmInteraction,interaction_log_T004.csv,HandTracker_movement_T004.csv,WristTracker_movement_T004.csv,ElbowTracker_movement_T004.csv,ShoulderTracker_movement_T004.csv,grid_objects_movement_T004.csv
basic/ICRA19/S001,basic,ICRA19,1,5,1,5,129.42,136.2222,practice,False,5,System.Single[],,,0.0,130.1333,,ArmInteraction,interaction_log_T005.csv,HandTracker_movement_T005.csv,WristTracker_movement_T005.csv,ElbowTracker_movement_T005.csv,ShoulderTracker_movement_T005.csv,grid_objects_movement_T005.csv
basic/ICRA19/S001,basic,ICRA19,1,6,1,6,143.7431,160.3622,practice,False,5,System.Single[],,,0.0,145.3556,,FirstHalfTimeout,interaction_log_T006.csv,HandTracker_movement_T006.csv,WristTracker_movement_T006.csv,ElbowTracker_movement_T006.csv,ShoulderTracker_movement_T006.csv,grid_objects_movement_T006.csv
basic/ICRA19/S001,basic,ICRA19,1,7,1,7,165.2545,185.2111,practice,False,5,System.Single[],,,0.0,166.0111,178.3692,Success,interaction_log_T007.csv,HandTracker_movement_T007.csv,WristTracker_movement_T007.csv,ElbowTracker_movement_T007.csv,ShoulderTracker_movement_T007.csv,grid_objects_movement_T007.csv
basic/ICRA19/S001,basic,ICRA19,1,8,1,8,189.6288,203.5,practice,False,5,System.Single[],,,0.0,190.1889,198.1294,Success,interaction_log_T008.csv,HandTracker_movement_T008.csv,WristTracker_movement_T008.csv,ElbowTracker_movement_T008.csv,ShoulderTracker_movement_T008.csv,grid_objects_movement_T008.csv
basic/ICRA19/S001,basic,ICRA19,1,9,1,9,207.9481,222.5778,practice,False,5,System.Single[],,,0.0,208.5111,217.622,Success,interaction_log_T009.csv,HandTracker_movement_T009.csv,WristTracker_movement_T009.csv,ElbowTracker_movement_T009.csv,ShoulderTracker_movement_T009.csv,grid_objects_movement_T009.csv
basic/ICRA19/S001,basic,ICRA19,1,10,2,1,236.5456,242.5778,main,False,5,System.Single[],True,right_free_1,0.0,237.2111,,ArmInteraction,interaction_log_T010.csv,HandTracker_movement_T010.csv,WristTracker_movement_T010.csv,ElbowTracker_movement_T010.csv,ShoulderTracker_movement_T010.csv,grid_objects_movement_T010.csv
basic/ICRA19/S001,basic,ICRA19,1,11,2,2,245.4478,261.0865,main,False,5,System.Single[],True,none_free_2,0.0,246.0778,,FirstHalfTimeout,interaction_log_T011.csv,HandTracker_movement_T011.csv,WristTracker_movement_T011.csv,ElbowTracker_movement_T011.csv,ShoulderTracker_movement_T011.csv,grid_objects_movement_T011.csv
basic/ICRA19/S001,basic,ICRA19,1,12,2,3,263.9683,279.5401,main,False,5,System.Single[],False,,0.0,264.5333,,FirstHalfTimeout,interaction_log_T012.csv,HandTracker_movement_T012.csv,WristTracker_movement_T012.csv,ElbowTracker_movement_T012.csv,ShoulderTracker_movement_T012.csv,grid_objects_movement_T012.csv
