time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
727.9889,-0.1396,0.6503,-0.3834,63.7667,356.5341,295.8034
728.0,-0.1399,0.6497,-0.3837,63.7809,356.8353,295.9108
728.0111,-0.14,0.6493,-0.3841,63.803999999999995,357.1857,296.0673
728.0222,-0.1402,0.649,-0.3843,63.8727,357.6255,296.2867
728.0333,-0.1409,0.6486,-0.3845,64.0285,358.1419,296.6371
728.0444,-0.1413,0.6484,-0.3847,64.2677,358.57099999999997,296.9604
728.0556,-0.1418,0.6483,-0.3846,64.5054,358.8894,297.1861
728.0667,-0.1422,0.6485,-0.3848,64.675,359.1633,297.3536
728.0778,-0.1425,0.6485,-0.385,64.7787,359.2168,297.2907
728.0889,-0.1428,0.6485,-0.3855,64.7885,359.3094,297.2432
728.1,-0.1431,0.6484,-0.3859,64.8246,359.3651,297.1531
728.1111,-0.1433,0.6485,-0.3863,64.8754,359.2873,296.9878
728.1223,-0.1434,0.6486,-0.3868,64.9897,359.2801,296.9039
728.1334,-0.1435,0.6486,-0.3874,65.1712,359.34,296.8993
728.1445,-0.1435,0.6487,-0.38799999999999996,65.4925,359.6213,297.0686
728.1556,-0.1436,0.6488,-0.3884,65.8936,0.0691,297.3434
728.1667,-0.1437,0.6489,-0.3888,66.2417,0.4628,297.5977
728.1778,-0.1438,0.649,-0.3891,66.6148,0.7928,297.8211
728.1889,-0.1436,0.6492,-0.3893,66.8668,0.9937,297.8854
728.2,-0.1435,0.6495,-0.3897,66.9539,1.2216,297.9361
728.2111,-0.1433,0.6498,-0.3903,67.0227,1.3936,297.9312
728.2222,-0.14300000000000002,0.6499,-0.3909,67.1718,1.7679,298.0948
728.2333,-0.1431,0.6501,-0.3913,67.3081,2.1976,298.3354
728.2444,-0.1431,0.6502,-0.3916,67.4571,2.7543,298.7614
728.2556,-0.1434,0.6506,-0.3922,67.7664,2.9982,299.0383
728.2667,-0.1435,0.6507,-0.3926,68.0055,3.2110000000000003,299.2433
728.2778,-0.1437,0.6508,-0.3931,68.1499,3.2816,299.3086
728.2889,-0.1436,0.6508,-0.3935,68.3056,3.4177,299.4061
728.3,-0.1439,0.6508,-0.3939,68.4347,3.4154,299.4715
728.3112,-0.14400000000000002,0.6508,-0.3942,68.5563,3.3243,299.5229
728.3223,-0.1438,0.6507,-0.3942,68.6911,3.1139,299.4684
728.3334,-0.14400000000000002,0.6507,-0.3945,68.7469,2.7669,299.3422
728.3445,-0.1439,0.6506,-0.3949,68.7211,2.4165,299.2626
728.3556,-0.1437,0.6505,-0.3954,68.7142,2.1608,299.2647
728.3667,-0.1436,0.6503,-0.3958,68.6769,2.0764,299.447
728.3778,-0.1435,0.65,-0.3961,68.6743,1.9446,299.5873
728.3889,-0.1432,0.6496,-0.3969,68.6761,1.8186,299.7786
728.4,-0.1432,0.6494,-0.3973,68.6913,1.7099,299.9576
728.4111,-0.14300000000000002,0.6491,-0.3977,68.7286,1.6207,300.1957
728.4222,-0.1428,0.6485,-0.39799999999999996,68.7524,1.5258,300.4586
728.4333,-0.1426,0.6481,-0.3984,68.6369,1.3847,300.753
728.4445,-0.1423,0.6477,-0.3987,68.4773,1.2025,301.0402
728.4556,-0.142,0.6472,-0.3987,68.2242,1.0487,301.4873
