time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
791.8445,0.0575,0.79,0.055,0.0,0.0,0.0
791.8556,0.0575,0.79,0.055,0.0,0.0,0.0
791.8667,0.0575,0.79,0.055,0.0,0.0,0.0
791.8778,0.0575,0.79,0.055,0.0,0.0,0.0
791.8889,0.0575,0.79,0.055,0.0,0.0,0.0
791.9,0.0575,0.79,0.055,0.0,0.0,0.0
791.9111,0.0575,0.79,0.055,0.0,0.0,0.0
791.9222,0.0575,0.79,0.055,0.0,0.0,0.0
791.9333,0.0575,0.79,0.055,0.0,0.0,0.0
791.9445,0.0575,0.79,0.055,0.0,0.0,0.0
791.9556,0.0575,0.79,0.055,0.0,0.0,0.0
791.9667,0.0575,0.79,0.055,0.0,0.0,0.0
791.9778,0.0575,0.79,0.055,0.0,0.0,0.0
791.9889,0.0575,0.79,0.055,0.0,0.0,0.0
792.0,0.0575,0.79,0.055,0.0,0.0,0.0
792.0111,0.0575,0.79,0.055,0.0,0.0,0.0
792.0222,0.0575,0.79,0.055,0.0,0.0,0.0
792.0333,0.0575,0.79,0.055,0.0,0.0,0.0
792.0444,0.0575,0.79,0.055,0.0,0.0,0.0
792.0556,0.0575,0.79,0.055,0.0,0.0,0.0
792.0667,0.0575,0.79,0.055,0.0,0.0,0.0
792.0778,0.0575,0.79,0.055,0.0,0.0,0.0
792.0889,0.0575,0.79,0.055,0.0,0.0,0.0
792.1,0.0575,0.79,0.055,0.0,0.0,0.0
792.1111,0.0575,0.79,0.055,0.0,0.0,0.0
792.1223,0.0575,0.79,0.055,0.0,0.0,0.0
792.1334,0.0575,0.79,0.055,0.0,0.0,0.0
792.1445,0.0575,0.79,0.055,0.0,0.0,0.0
792.1556,0.0575,0.79,0.055,0.0,0.0,0.0
792.1667,0.0575,0.79,0.055,0.0,0.0,0.0
