time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
989.9667,0.0225,0.79,0.055,0.0,0.0,0.0
989.9778,0.0225,0.79,0.055,0.0002,0.0002,0.0002
989.9889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0,0.0225,0.79,0.055,0.0005,0.0005,0.0005
990.0111,0.0225,0.79,0.055,0.0005,0.0005,0.0005
990.0222,0.0225,0.79,0.055,0.0005,0.0005,0.0005
990.0334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.0889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1223,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.1889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2222,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2333,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2444,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.2889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3112,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3223,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.3889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.4,0.0225,0.79,0.055,0.0004,0.0004,0.0004
990.4111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
