time,FailOnTouchObstacleShort_pos_x,FailOnTouchObstacleShort_pos_y,FailOnTouchObstacleShort_pos_z,FailOnTouchObstacleShort_rot_x,FailOnTouchObstacleShort_rot_y,FailOnTouchObstacleShort_rot_z
518.3111,0.1125,0.79,-0.105,0.0,0.0,0.0
518.3222,0.1125,0.79,-0.105,-0.001,-0.001,-0.001
518.3334,0.1125,0.79,-0.105,-0.002,-0.002,-0.002
518.3445,0.1125,0.79,-0.105,-0.0024,-0.0024,-0.0024
518.3556,0.1125,0.79,-0.105,-0.0025,-0.0025,-0.0025
518.3667,0.1125,0.79,-0.105,-0.0023,-0.0023,-0.0023
518.3778,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.3889,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4111,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4222,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4333,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4445,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4556,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4667,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4778,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.4889,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5111,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5222,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5333,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5444,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5555,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
518.5667,0.1125,0.79,-0.105,-0.0022,-0.0022,-0.0022
