time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
824.6,0.23800000000000002,0.8849,-0.6299,344.6261,127.3985,144.4113
824.6111,0.2382,0.885,-0.6298,344.6514,127.3681,144.3342
824.6223,0.2383,0.8851,-0.6296,344.6602,127.3493,144.2846
824.6334,0.2384,0.8851,-0.6295,344.6732,127.3135,144.2422
824.6445,0.2385,0.8851,-0.6293,344.67699999999996,127.2725,144.2105
824.6556,0.2386,0.8851,-0.6291,344.6953,127.1629,144.1886
824.6667,0.2385,0.885,-0.6289,344.7006,127.0511,144.1791
824.6778,0.2386,0.8851,-0.6288,344.7115,126.9601,144.1741
824.6889,0.2387,0.8851,-0.6287,344.7169,126.8688,144.1735
824.7,0.2388,0.8851,-0.6283,344.7551,126.7969,144.1759
824.7111,0.239,0.8853,-0.6283,344.8155,126.7404,144.1491
824.7222,0.2391,0.8853,-0.6282,344.8625,126.6746,144.1003
824.7333,0.2392,0.8852,-0.628,344.8848,126.59899999999999,144.0643
824.7444,0.2393,0.8853,-0.6279,344.8755,126.5429,144.0156
824.7556,0.2394,0.8852,-0.6278,344.8627,126.4986,143.9839
824.7667,0.2393,0.8851,-0.6276,344.8561,126.4788,143.9879
824.7778,0.2396,0.8851,-0.6276,344.8637,126.4511,144.017
824.7889,0.2397,0.8851,-0.6274,344.8966,126.3979,144.0282
824.8,0.2399,0.8852,-0.6273,344.9788,126.3245,144.0468
824.8112,0.2403,0.8853,-0.6272,345.0227,126.3,144.0451
824.8223,0.2405,0.8853,-0.6269,345.0819,126.3256,143.9444
824.8334,0.2405,0.8851,-0.6267,345.0944,126.2133,143.8874
824.8445,0.2408,0.8852,-0.6267,345.1351,125.9969,143.882
824.8556,0.2409,0.8851,-0.6266,345.2488,125.6268,143.8411
824.8667,0.2408,0.8848,-0.6266,345.2733,125.3181,143.6973
824.8778,0.2413,0.8847,-0.6267,345.3718,125.0938,143.545
824.8889,0.2413,0.8845,-0.6263,345.4688,124.8716,143.4548
824.9,0.2412,0.8842,-0.6259,345.5366,124.662,143.4124
824.9111,0.2413,0.8843,-0.6254,345.6493,124.5284,143.3926
824.9222,0.2414,0.8843,-0.625,345.7603,124.3309,143.3635
824.9333,0.2416,0.8843,-0.6245,345.7946,124.0789,143.3259
824.9445,0.2417,0.8843,-0.624,345.7821,123.8703,143.3145
824.9556,0.2418,0.8842,-0.6234,345.7579,123.65799999999999,143.3116
824.9667,0.2417,0.884,-0.6228,345.6946,123.4096,143.315
824.9778,0.242,0.8839,-0.6224,345.6989,123.1695,143.3274
824.9889,0.242,0.8838,-0.6218,345.7638,122.9306,143.3536
825.0,0.2421,0.8837,-0.6213,345.8442,122.6648,143.3838
825.0111,0.2424,0.8837,-0.621,345.8944,122.4487,143.3736
825.0222,0.2424,0.8837,-0.6205,345.9383,122.3092,143.3466
825.0333,0.2425,0.8836,-0.6199,345.9558,122.1898,143.33
