time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
1002.378,0.1025,0.79,-0.105,0.0,0.0,0.0
1002.3889999999999,0.1025,0.79,-0.105,0.0002,0.0002,0.0002
1002.4,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.4110000000001,0.1025,0.79,-0.105,0.0005,0.0005,0.0005
1002.422,0.1025,0.79,-0.105,0.0005,0.0005,0.0005
1002.433,0.1025,0.79,-0.105,0.0005,0.0005,0.0005
1002.444,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.456,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.467,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.4780000000001,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.4889999999999,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.5,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.5110000000001,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.5219999999999,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.533,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.544,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.556,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.567,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.578,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.5889999999999,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.6,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.6110000000001,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.622,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.633,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.6439999999999,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.6560000000001,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.6669999999999,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.678,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.689,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.7,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
1002.711,0.1025,0.79,-0.105,0.0004,0.0004,0.0004
