time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
379.4222,0.0073,0.7769,-0.2656,318.8588,321.959,8.2686
379.4333,0.0075,0.7768,-0.2658,318.8926,322.05,8.2158
379.4445,0.0077,0.7768,-0.266,318.8853,322.0913,8.2867
379.4556,0.0077,0.7768,-0.2662,318.9035,322.0967,8.2981
379.4667,0.0076,0.777,-0.2665,318.8976,321.9241,8.3479
379.4778,0.0077,0.777,-0.2666,318.9006,321.8462,8.4038
379.4889,0.0078,0.777,-0.2667,318.8855,321.7478,8.5534
379.5,0.0079,0.777,-0.2669,318.8868,321.6794,8.6703
379.5111,0.0078,0.7769,-0.2669,318.8976,321.6473,8.7225
379.5222,0.0078,0.777,-0.267,318.893,321.6511,8.7191
379.5334,0.0077,0.7772,-0.2673,318.8634,321.6913,8.6206
379.5445,0.0076,0.7772,-0.2674,318.8577,321.7126,8.4882
379.5556,0.0078,0.7773,-0.2674,318.8673,321.6819,8.4089
379.5667,0.0078,0.7773,-0.2675,318.8657,321.6173,8.4161
379.5778,0.0078,0.7772,-0.2674,318.8562,321.5521,8.4577
379.5889,0.0078,0.7771,-0.2675,318.8289,321.5016,8.532
379.6,0.0077,0.7771,-0.2674,318.8,321.4818,8.6173
379.6111,0.0076,0.777,-0.2674,318.7819,321.5086,8.6681
379.6222,0.0076,0.777,-0.2673,318.762,321.5681,8.6388
379.6333,0.0077,0.7769,-0.2674,318.743,321.606,8.593
379.6444,0.0079,0.7772,-0.2674,318.7454,321.6776,8.5117
379.6556,0.0079,0.7772,-0.2675,318.7483,321.7192,8.4378
379.6667,0.008,0.7772,-0.2676,318.7203,321.7191,8.3971
379.6778,0.008,0.7772,-0.2676,318.7193,321.7035,8.4163
379.6889,0.0081,0.7771,-0.2675,318.73,321.6814,8.4848
379.7,0.008,0.7771,-0.2673,318.7395,321.6668,8.5236
379.7111,0.0081,0.7771,-0.2672,318.7162,321.6578,8.5891
379.7222,0.0082,0.7771,-0.2672,318.6701,321.7249,8.6331
379.7333,0.0082,0.777,-0.267,318.6069,321.8333,8.6364
379.7444,0.0082,0.7768,-0.2669,318.5742,321.9408,8.63
379.7556,0.0083,0.7768,-0.2669,318.5498,322.0926,8.5587
379.7667,0.0083,0.7767,-0.2669,318.5658,322.2476,8.4259
379.7778,0.0084,0.7767,-0.2668,318.5948,322.376,8.2929
379.7889,0.0085,0.7767,-0.2667,318.6615,322.4774,8.1233
379.8,0.0087,0.7766,-0.2667,318.6505,322.5632,8.0675
379.8111,0.0087,0.7764,-0.2665,318.5438,322.6472,8.1313
379.8222,0.0089,0.7764,-0.2663,318.3384,322.7835,8.2729
379.8333,0.009000000000000001,0.7763,-0.2661,318.1911,322.9306,8.3958
379.8445,0.0092,0.7762,-0.2657,318.0781,323.1912,8.486
379.8556,0.0095,0.7761,-0.2654,318.0146,323.4934,8.3931
379.8667,0.0097,0.7761,-0.2651,317.9251,323.8119,8.2748
379.8778,0.0104,0.7763,-0.2647,317.7714,324.3062,8.0681
379.8889,0.0109,0.7763,-0.2639,317.4874,324.9393,7.8696
379.9,0.0114,0.7764,-0.2631,317.1004,325.7525,7.6952
379.9111,0.0121,0.7764,-0.2623,316.7799,326.5949,7.5355
379.9222,0.0128,0.7766,-0.261,316.54,327.6767,7.4378
379.9333,0.0137,0.7765,-0.2596,316.3627,328.7042,7.3392
379.9445,0.0147,0.7763,-0.2578,316.1399,329.8579,7.7064
379.9556,0.0157,0.7761,-0.2563,315.76599999999996,330.7827,8.3808
379.9667,0.0171,0.7759,-0.2538,314.9385,331.7532,9.9208
