time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
454.0445,0.1575,0.79,0.055,0.0,0.0,0.0
454.0556,0.1575,0.79,0.055,0.0002,0.0002,0.0002
454.0667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.0778,0.1575,0.79,0.055,0.0005,0.0005,0.0005
454.0889,0.1575,0.79,0.055,0.0005,0.0005,0.0005
454.1,0.1575,0.79,0.055,0.0005,0.0005,0.0005
454.1111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.1889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2444,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.2889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
454.3667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
