time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1187.878,0.1785,0.7904,-0.2357,310.3647,294.3883,3.5456
1187.889,0.1785,0.7904,-0.2356,310.4304,294.3913,3.625
1187.9,0.1784,0.7906,-0.2357,310.594,294.1845,3.9143
1187.911,0.1783,0.7908,-0.2356,310.6772,294.1238,4.0666
1187.922,0.1781,0.7907,-0.2354,310.7369,294.0049,4.2359
1187.933,0.1781,0.7908,-0.2354,310.7879,293.8825,4.324
1187.944,0.1782,0.7908,-0.2353,310.8643,293.7607,4.4185
1187.9560000000001,0.1783,0.7909999999999999,-0.2354,310.952,293.6493,4.5841
1187.9669999999999,0.1784,0.7909999999999999,-0.2355,311.0388,293.4912,4.8999
1187.978,0.1784,0.7911,-0.2354,311.1406,293.375,5.1292
1187.989,0.1786,0.7912,-0.2355,311.2491,293.2701,5.3811
1188.0,0.1787,0.7912,-0.2356,311.3352,293.2103,5.5979
1188.011,0.1788,0.7913,-0.2356,311.42900000000003,293.177,5.7564
1188.022,0.179,0.7913,-0.2357,311.482,293.2763,5.704
1188.0330000000001,0.1791,0.7912,-0.2357,311.5252,293.3188,5.6647
1188.0439999999999,0.1792,0.7911,-0.2357,311.5238,293.4127,5.5335
1188.056,0.1793,0.7909,-0.2357,311.5059,293.5114,5.417000000000001
1188.067,0.1796,0.7907,-0.2354,311.4552,293.6361,5.2924
1188.078,0.1797,0.7905,-0.2354,311.4307,293.7684,5.1915
1188.089,0.1798,0.7902,-0.2353,311.3884,294.0003,5.0355
1188.1,0.18,0.79,-0.2351,311.3499,294.2086,4.9303
1188.111,0.18,0.7899,-0.2349,311.2913,294.434,4.8429
1188.122,0.18,0.7896,-0.2348,311.2753,294.8239,4.596
1188.133,0.18,0.7893,-0.2348,311.2844,295.2654,4.2039
1188.145,0.1801,0.789,-0.2347,311.2896,295.703,3.7645
1188.156,0.1801,0.7886,-0.2345,311.33099999999996,296.0909,3.3868
1188.167,0.18,0.7883,-0.2343,311.3098,296.4386,3.2359
1188.178,0.1799,0.7881,-0.2337,311.2708,296.7915,3.1562
1188.1889999999999,0.1801,0.7879999999999999,-0.2335,311.1817,297.0641,3.2792
1188.2,0.18,0.7877,-0.2332,311.0974,297.4333,3.3656
1188.211,0.1799,0.7876,-0.2329,311.0283,297.8909,3.3769
1188.222,0.1799,0.7875,-0.2328,310.9852,298.5471,3.3157
1188.233,0.1798,0.7873,-0.2325,310.9653,299.4175,3.1119
1188.245,0.1799,0.7869,-0.2323,310.9236,300.3016,2.8357
1188.256,0.1798,0.7866,-0.2316,310.909,301.4398,2.378
1188.267,0.1797,0.7864,-0.2311,310.8629,302.7538,1.8711
1188.278,0.1798,0.7859999999999999,-0.2303,310.7633,304.2167,1.4089
1188.289,0.1801,0.7858,-0.2294,310.5547,305.9333,1.1408
1188.3,0.1801,0.7856,-0.2287,310.3797,307.2775,1.0066
1188.3110000000001,0.1802,0.7855,-0.2278,310.1949,308.7646,0.9023
1188.322,0.1808,0.7855,-0.2269,310.0049,310.41,1.0129
1188.333,0.1814,0.7855,-0.2257,309.8059,312.2389,1.3642
1188.344,0.1818,0.7854,-0.2247,309.5807,314.0498,1.3509
1188.356,0.1825,0.7854,-0.2236,309.2393,316.2545,0.9489
1188.367,0.1829,0.7853,-0.2226,308.9384,318.6837,359.962
1188.378,0.1834,0.7852,-0.2212,308.7038,321.2584,358.7144
1188.389,0.1844,0.7852,-0.2199,308.5513,324.5277,356.1454
1188.4,0.1849,0.7851,-0.2186,308.4357,327.5831,354.0648
1188.411,0.1858,0.7847,-0.2172,308.3261,330.4922,352.0297
1188.422,0.1869,0.7846,-0.2157,308.0946,333.2163,350.6312
1188.433,0.1878,0.7844,-0.2142,307.8452,335.6789,349.6323
1188.444,0.1893,0.7842,-0.2124,307.4387,337.7636,349.2952
1188.4560000000001,0.1908,0.7841,-0.2104,307.0109,339.3506,349.4565
1188.4669999999999,0.1922,0.7841,-0.2088,306.7191,341.0661,349.2899
1188.478,0.1937,0.7842,-0.2073,306.5136,342.9369,348.8213
1188.489,0.1947,0.7838,-0.2054,306.3175,344.9974,348.1268
1188.5,0.1959,0.7837,-0.2037,306.1456,347.0679,347.3614
1188.511,0.1972,0.7837,-0.2017,305.7854,348.8327,347.3129
1188.522,0.1987,0.7836,-0.1997,305.1342,350.1258,348.2625
1188.5330000000001,0.2001,0.7836,-0.1975,304.2662,350.9258,349.8595
1188.5439999999999,0.2017,0.7835,-0.1957,303.4205,351.7726,351.2295
1188.556,0.2033,0.7836,-0.1936,302.6999,352.31199999999995,352.4865
1188.567,0.2043,0.7839,-0.192,302.3433,353.2709,352.3158
1188.578,0.2056,0.7841,-0.1902,302.2,354.7017,350.9604
1188.589,0.2066,0.7839,-0.1883,302.2122,356.2671,349.3291
1188.6,0.2076,0.7841,-0.1868,302.0954,357.7291,348.6055
1188.611,0.2084,0.7841,-0.1851,301.803,358.7944,348.6836
1188.622,0.2094,0.7843,-0.1836,301.2755,359.4131,349.9081
1188.633,0.2107,0.7845,-0.1818,300.6998,359.5076,351.5142
1188.645,0.212,0.7845,-0.1801,300.1844,359.6225,352.7331
1188.656,0.2132,0.7845,-0.1784,299.7681,359.3841,353.4776
1188.667,0.2144,0.7845,-0.1768,299.4827,359.715,353.5837
1188.678,0.2153,0.7847,-0.1757,299.54900000000004,0.3263,352.8371
1188.6889999999999,0.2157,0.7844,-0.1744,299.7584,1.1468,351.7661
1188.7,0.21600000000000003,0.7845,-0.1733,299.9639,2.0174,350.76800000000003
1188.711,0.2165,0.7845,-0.1719,300.2087,2.783,349.9962
1188.722,0.217,0.7847,-0.171,300.6672,3.4413,349.3808
1188.733,0.2177,0.7848,-0.17,301.0255,3.7548,349.2878
1188.745,0.218,0.7847,-0.1686,301.2123,4.1738,349.1117
1188.756,0.2183,0.7845,-0.1674,301.1033,4.4265,349.3097
1188.767,0.2188,0.7842,-0.1661,301.0629,4.7507,349.3119
1188.778,0.21899999999999997,0.7842,-0.1652,301.0346,5.0541,349.1934
1188.789,0.2193,0.7841,-0.1642,301.0988,5.4748,348.8134
1188.8,0.2195,0.7838,-0.1632,301.233,5.8078,348.6255
1188.8110000000001,0.2197,0.7838,-0.1626,301.4562,6.0722,348.5866
1188.822,0.2196,0.7836,-0.1618,301.6595,6.2506,348.5896
1188.833,0.2198,0.7835,-0.1609,301.7927,6.4267,348.5581
1188.844,0.22,0.7833,-0.16,301.9221,6.4352,348.5545
1188.856,0.2202,0.7833,-0.1592,302.0269,6.4589,348.5401
1188.867,0.2203,0.7829,-0.1583,301.9449,6.5095,348.463
1188.878,0.2203,0.7826,-0.1573,301.7884,6.7625,348.2866
1188.889,0.2204,0.7823,-0.1564,301.649,7.0348,348.1423
1188.9,0.2202,0.7822,-0.1554,301.4666,7.2788,348.1828
1188.911,0.2202,0.782,-0.1548,301.3634,7.4961,348.3288
1188.922,0.2202,0.7819,-0.1541,301.4359,7.5725,348.4204
1188.933,0.2202,0.7818,-0.1533,301.563,7.6408,348.3896
1188.944,0.2203,0.7817,-0.1525,301.8569,7.5592,348.2931
1188.9560000000001,0.2204,0.7815,-0.1517,302.0729,7.5213,348.1794
1188.9669999999999,0.2205,0.7813,-0.1509,302.2301,7.5109,347.9534
1188.978,0.2206,0.7807,-0.1499,302.1751,7.7736,347.7154
1188.989,0.2206,0.7801,-0.149,302.1256,7.9774,347.6874
1189.0,0.2207,0.7797,-0.1482,301.9698,8.1243,348.02099999999996
1189.011,0.2209,0.7792,-0.1476,301.8188,8.2132,348.369
