directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,type,hand_only,start_timeout,each_half_timeout,shared_trial,trial_name,start_pos_x,start_moved_time,target_reached_time,outcome,interaction_log,HandTracker_movement_filename,WristTracker_movement_filename,ElbowTracker_movement_filename,ShoulderTracker_movement_filename,grid_objects_movement_filename
basic/ICRA18/S001,basic,ICRA18,1,1,1,1,39.9123,54.46666999999999,practice,False,5,System.Single[],,,0.0,39.94445,,ArmInteraction,interaction_log_T001.csv,HandTracker_movement_T001.csv,WristTracker_movement_T001.csv,ElbowTracker_movement_T001.csv,ShoulderTracker_movement_T001.csv,grid_objects_movement_T001.csv
basic/ICRA18/S001,basic,ICRA18,1,2,1,2,59.113640000000004,70.04445,practice,False,5,System.Single[],,,0.0,59.81111,68.57465,Success,interaction_log_T002.csv,HandTracker_movement_T002.csv,WristTracker_movement_T002.csv,ElbowTracker_movement_T002.csv,ShoulderTracker_movement_T002.csv,grid_objects_movement_T002.csv
basic/ICRA18/S001,basic,ICRA18,1,3,1,3,77.12005,88.46667,practice,False,5,System.Single[],,,0.0,78.71110999999999,87.16261,Success,interaction_log_T003.csv,HandTracker_movement_T003.csv,WristTracker_movement_T003.csv,ElbowTracker_movement_T003.csv,ShoulderTracker_movement_T003.csv,grid_objects_movement_T003.csv
basic/ICRA18/S001,basic,ICRA18,1,4,1,4,91.98781,97.81111,practice,False,5,System.Single[],,,0.0,92.94445,,ArmInteraction,interaction_log_T004.csv,HandTracker_movement_T004.csv,WristTracker_movement_T004.csv,ElbowTracker_movement_T004.csv,ShoulderTracker_movement_T004.csv,grid_objects_movement_T004.csv
basic/ICRA18/S001,basic,ICRA18,1,5,1,5,101.9183,115.0667,practice,False,5,System.Single[],,,0.0,102.8,113.7048,Success,interaction_log_T005.csv,HandTracker_movement_T005.csv,WristTracker_movement_T005.csv,ElbowTracker_movement_T005.csv,ShoulderTracker_movement_T005.csv,grid_objects_movement_T005.csv
basic/ICRA18/S001,basic,ICRA18,1,6,1,6,118.6852,129.2333,practice,False,5,System.Single[],,,0.0,119.5111,128.0015,Success,interaction_log_T006.csv,HandTracker_movement_T006.csv,WristTracker_movement_T006.csv,ElbowTracker_movement_T006.csv,ShoulderTracker_movement_T006.csv,grid_objects_movement_T006.csv
basic/ICRA18/S001,basic,ICRA18,1,7,1,7,132.749,139.8778,practice,False,5,System.Single[],,,0.0,133.6333,138.6245,Success,interaction_log_T007.csv,HandTracker_movement_T007.csv,WristTracker_movement_T007.csv,ElbowTracker_movement_T007.csv,ShoulderTracker_movement_T007.csv,grid_objects_movement_T007.csv
basic/ICRA18/S001,basic,ICRA18,1,8,1,8,143.1934,153.6222,practice,False,5,System.Single[],,,0.0,143.7444,152.0532,Success,interaction_log_T008.csv,HandTracker_movement_T008.csv,WristTracker_movement_T008.csv,ElbowTracker_movement_T008.csv,ShoulderTracker_movement_T008.csv,grid_objects_movement_T008.csv
basic/ICRA18/S001,basic,ICRA18,1,9,1,9,156.9777,168.5778,practice,False,5,System.Single[],,,0.0,157.6333,166.9087,Success,interaction_log_T009.csv,HandTracker_movement_T009.csv,WristTracker_movement_T009.csv,ElbowTracker_movement_T009.csv,ShoulderTracker_movement_T009.csv,grid_objects_movement_T009.csv
basic/ICRA18/S001,basic,ICRA18,1,10,2,1,181.7315,195.4556,main,False,5,System.Single[],True,centre_free_4,0.0,182.6889,194.08599999999998,Success,interaction_log_T010.csv,HandTracker_movement_T010.csv,WristTracker_movement_T010.csv,ElbowTracker_movement_T010.csv,ShoulderTracker_movement_T010.csv,grid_objects_movement_T010.csv
basic/ICRA18/S001,basic,ICRA18,1,11,2,2,197.6941,207.5778,main,False,5,System.Single[],False,,0.0,198.5778,206.1618,Success,interaction_log_T011.csv,HandTracker_movement_T011.csv,WristTracker_movement_T011.csv,ElbowTracker_movement_T011.csv,ShoulderTracker_movement_T011.csv,grid_objects_movement_T011.csv
basic/ICRA18/S001,basic,ICRA18,1,12,2,3,210.00400000000002,218.5556,main,False,5,System.Single[],False,,0.0,210.5556,216.5055,Success,interaction_log_T012.csv,HandTracker_movement_T012.csv,WristTracker_movement_T012.csv,ElbowTracker_movement_T012.csv,ShoulderTracker_movement_T012.csv,grid_objects_movement_T012.csv
basic/ICRA18/S001,basic,ICRA18,1,13,2,4,220.683,225.6333,main,False,5,System.Single[],True,centre_free_1,0.0,221.0889,224.3917,Success,interaction_log_T013.csv,HandTracker_movement_T013.csv,WristTracker_movement_T013.csv,ElbowTracker_movement_T013.csv,ShoulderTracker_movement_T013.csv,grid_objects_movement_T013.csv
basic/ICRA18/S001,basic,ICRA18,1,14,2,5,229.2842,240.8111,main,False,5,System.Single[],True,none_free_1,0.0,230.3222,,KnockedOverObstacle,interaction_log_T014.csv,HandTracker_movement_T014.csv,WristTracker_movement_T014.csv,ElbowTracker_movement_T014.csv,ShoulderTracker_movement_T014.csv,grid_objects_movement_T014.csv
basic/ICRA18/S001,basic,ICRA18,1,15,2,6,243.1691,251.0556,main,False,5,System.Single[],False,,0.0,243.9556,249.6146,Success,interaction_log_T015.csv,HandTracker_movement_T015.csv,WristTracker_movement_T015.csv,ElbowTracker_movement_T015.csv,ShoulderTracker_movement_T015.csv,grid_objects_movement_T015.csv
basic/ICRA18/S001,basic,ICRA18,1,16,2,7,253.2113,260.0556,main,False,5,System.Single[],False,,0.0,253.6445,,KnockedOverObstacle,interaction_log_T016.csv,HandTracker_movement_T016.csv,WristTracker_movement_T016.csv,ElbowTracker_movement_T016.csv,ShoulderTracker_movement_T016.csv,grid_objects_movement_T016.csv
basic/ICRA18/S001,basic,ICRA18,1,17,2,8,262.30400000000003,269.8778,main,False,5,System.Single[],False,,0.0,262.8,,ArmInteraction,interaction_log_T017.csv,HandTracker_movement_T017.csv,WristTracker_movement_T017.csv,ElbowTracker_movement_T017.csv,ShoulderTracker_movement_T017.csv,grid_objects_movement_T017.csv
basic/ICRA18/S001,basic,ICRA18,1,18,2,9,271.98900000000003,281.6667,main,False,5,System.Single[],False,,0.0,272.3445,279.8306,Success,interaction_log_T018.csv,HandTracker_movement_T018.csv,WristTracker_movement_T018.csv,ElbowTracker_movement_T018.csv,ShoulderTracker_movement_T018.csv,grid_objects_movement_T018.csv
basic/ICRA18/S001,basic,ICRA18,1,19,2,10,283.8857,288.4667,main,False,5,System.Single[],False,,0.0,284.8556,,ArmInteraction,interaction_log_T019.csv,HandTracker_movement_T019.csv,WristTracker_movement_T019.csv,ElbowTracker_movement_T019.csv,ShoulderTracker_movement_T019.csv,grid_objects_movement_T019.csv
basic/ICRA18/S001,basic,ICRA18,1,20,2,11,290.4317,300.4333,main,False,5,System.Single[],False,,0.0,290.7556,299.4013,Success,interaction_log_T020.csv,HandTracker_movement_T020.csv,WristTracker_movement_T020.csv,ElbowTracker_movement_T020.csv,ShoulderTracker_movement_T020.csv,grid_objects_movement_T020.csv
basic/ICRA18/S001,basic,ICRA18,1,21,2,12,302.4284,307.9222,main,False,5,System.Single[],False,,0.0,303.1555,307.0085,Success,interaction_log_T021.csv,HandTracker_movement_T021.csv,WristTracker_movement_T021.csv,ElbowTracker_movement_T021.csv,ShoulderTracker_movement_T021.csv,grid_objects_movement_T021.csv
basic/ICRA18/S001,basic,ICRA18,1,22,2,13,309.9462,313.4222,main,False,5,System.Single[],False,,0.0,310.7667,,KnockedOverObstacle,interaction_log_T022.csv,HandTracker_movement_T022.csv,WristTracker_movement_T022.csv,ElbowTracker_movement_T022.csv,ShoulderTracker_movement_T022.csv,grid_objects_movement_T022.csv
basic/ICRA18/S001,basic,ICRA18,1,23,2,14,315.3528,328.1222,main,False,5,System.Single[],False,,0.0,315.3889,327.6739,ArmInteraction,interaction_log_T023.csv,HandTracker_movement_T023.csv,WristTracker_movement_T023.csv,ElbowTracker_movement_T023.csv,ShoulderTracker_movement_T023.csv,grid_objects_movement_T023.csv
basic/ICRA18/S001,basic,ICRA18,1,24,2,15,330.2766,338.0445,main,False,5,System.Single[],False,,0.0,330.7,337.1693,Success,interaction_log_T024.csv,HandTracker_movement_T024.csv,WristTracker_movement_T024.csv,ElbowTracker_movement_T024.csv,ShoulderTracker_movement_T024.csv,grid_objects_movement_T024.csv
basic/ICRA18/S001,basic,ICRA18,1,25,2,16,340.2074,353.6,main,False,5,System.Single[],True,left_free_3,0.0,341.5889,351.534,Success,interaction_log_T025.csv,HandTracker_movement_T025.csv,WristTracker_movement_T025.csv,ElbowTracker_movement_T025.csv,ShoulderTracker_movement_T025.csv,grid_objects_movement_T025.csv
basic/ICRA18/S001,basic,ICRA18,1,26,2,17,355.6228,360.7444,main,False,5,System.Single[],False,,0.0,356.2222,,ArmInteraction,interaction_log_T026.csv,HandTracker_movement_T026.csv,WristTracker_movement_T026.csv,ElbowTracker_movement_T026.csv,ShoulderTracker_movement_T026.csv,grid_objects_movement_T026.csv
basic/ICRA18/S001,basic,ICRA18,1,27,2,18,362.3247,370.4333,main,False,5,System.Single[],True,left_free_2,0.0,362.7778,369.4404,Success,interaction_log_T027.csv,HandTracker_movement_T027.csv,WristTracker_movement_T027.csv,ElbowTracker_movement_T027.csv,ShoulderTracker_movement_T027.csv,grid_objects_movement_T027.csv
basic/ICRA18/S001,basic,ICRA18,1,28,2,19,372.3228,378.5556,main,False,5,System.Single[],True,centre_free_2,0.0,372.9111,377.6618,Success,interaction_log_T028.csv,HandTracker_movement_T028.csv,WristTracker_movement_T028.csv,ElbowTracker_movement_T028.csv,ShoulderTracker_movement_T028.csv,grid_objects_movement_T028.csv
basic/ICRA18/S001,basic,ICRA18,1,29,2,20,380.5883,389.3889,main,False,5,System.Single[],True,left_free_1,0.0,381.3667,388.4972,Success,interaction_log_T029.csv,HandTracker_movement_T029.csv,WristTracker_movement_T029.csv,ElbowTracker_movement_T029.csv,ShoulderTracker_movement_T029.csv,grid_objects_movement_T029.csv
basic/ICRA18/S001,basic,ICRA18,1,30,2,21,391.2901,399.2556,main,False,5,System.Single[],True,right_free_2,0.0,391.4889,398.3056,Success,interaction_log_T030.csv,HandTracker_movement_T030.csv,WristTracker_movement_T030.csv,ElbowTracker_movement_T030.csv,ShoulderTracker_movement_T030.csv,grid_objects_movement_T030.csv
basic/ICRA18/S001,basic,ICRA18,1,31,2,22,402.2146,406.7889,main,False,5,System.Single[],False,,0.0,403.1333,,KnockedOverObstacle,interaction_log_T031.csv,HandTracker_movement_T031.csv,WristTracker_movement_T031.csv,ElbowTracker_movement_T031.csv,ShoulderTracker_movement_T031.csv,grid_objects_movement_T031.csv
basic/ICRA18/S001,basic,ICRA18,1,32,2,23,408.5368,412.9445,main,False,5,System.Single[],False,,0.0,408.5445,,KnockedOverObstacle,interaction_log_T032.csv,HandTracker_movement_T032.csv,WristTracker_movement_T032.csv,ElbowTracker_movement_T032.csv,ShoulderTracker_movement_T032.csv,grid_objects_movement_T032.csv
