time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
910.4111,-0.0975,0.79,-0.105,0,0,0
910.4222,-0.0975,0.79,-0.105,0,0,0
910.4333,-0.0975,0.79,-0.105,0,0,0
910.4445,-0.0975,0.79,-0.105,0,0,0
910.4556,-0.0975,0.79,-0.105,0,0,0
910.4667,-0.0975,0.79,-0.105,0,0,0
910.4778,-0.0975,0.79,-0.105,0,0,0
910.4889,-0.0975,0.79,-0.105,0,0,0
910.5,-0.0975,0.79,-0.105,0,0,0
910.5111,-0.0975,0.79,-0.105,0,0,0
910.5222,-0.0975,0.79,-0.105,0,0,0
910.5333,-0.0975,0.79,-0.105,0,0,0
910.5445,-0.0975,0.79,-0.105,0,0,0
910.5556,-0.0975,0.79,-0.105,0,0,0
910.5667,-0.0975,0.79,-0.105,0,0,0
910.5778,-0.0975,0.79,-0.105,0,0,0
910.5889,-0.0975,0.79,-0.105,0,0,0
910.6,-0.0975,0.79,-0.105,0,0,0
910.6111,-0.0975,0.79,-0.105,0,0,0
910.6223,-0.0975,0.79,-0.105,0,0,0
910.6334,-0.0975,0.79,-0.105,0,0,0
910.6445,-0.0975,0.79,-0.105,0,0,0
910.6556,-0.0975,0.79,-0.105,0,0,0
910.6667,-0.0975,0.79,-0.105,0,0,0
910.6778,-0.0975,0.79,-0.105,0,0,0
910.6889,-0.0975,0.79,-0.105,0,0,0
910.7,-0.0975,0.79,-0.105,0,0,0
910.7111,-0.0975,0.79,-0.105,0,0,0
910.7222,-0.0975,0.79,-0.105,0,0,0
910.7333,-0.0975,0.79,-0.105,0,0,0
910.7444,-0.0975,0.79,-0.105,0,0,0
910.7556,-0.0975,0.79,-0.105,0,0,0
910.7667,-0.0975,0.79,-0.105,0,0,0
910.7778,-0.0975,0.79,-0.105,0,0,0
910.7889,-0.0975,0.79,-0.105,0,0,0
910.8,-0.0975,0.79,-0.105,0,0,0
910.8112,-0.0975,0.79,-0.105,0,0,0
910.8223,-0.0975,0.79,-0.105,0,0,0
910.8334,-0.0975,0.79,-0.105,0,0,0
910.8445,-0.0975,0.79,-0.105,0,0,0
910.8556,-0.0975,0.79,-0.105,0,0,0
910.8667,-0.0975,0.79,-0.105,0,0,0
910.8778,-0.0975,0.79,-0.105,0,0,0
910.8889,-0.0975,0.79,-0.105,0,0,0
910.9,-0.0975,0.79,-0.105,0,0,0
910.9111,-0.0975,0.79,-0.105,0,0,0
910.9222,-0.0975,0.79,-0.105,0,0,0
910.9333,-0.0975,0.79,-0.105,0,0,0
910.9445,-0.0975,0.79,-0.105,0,0,0
910.9556,-0.0975,0.79,-0.105,0,0,0
910.9667,-0.0975,0.79,-0.105,0,0,0
910.9778,-0.0975,0.79,-0.105,0,0,0
910.9889,-0.0975,0.79,-0.105,0,0,0
911.0,-0.0975,0.79,-0.105,0,0,0
911.0111,-0.0975,0.79,-0.105,0,0,0
