start_time,end_time,dominant_object,non_dominant_object,interaction_type
544.4111,544.6667,Hand,FailOnTouchObstacleShort,RightGate
544.4111,544.6667,Hand,FailOnTouchObstacleLong,LeftGate
544.4111,544.6667,Hand,FailOnTouchObstacleMed,RightGate
544.4778,544.8223,HandToWrist,FailOnTouchObstacleShort,RightGate
544.4778,544.8223,HandToWrist,FailOnTouchObstacleLong,LeftGate
544.4778,544.8223,HandToWrist,FailOnTouchObstacleMed,RightGate
544.6556,546.9445,WristToElbow,FailOnTouchObstacleShort,RightGate
544.6556,546.9445,WristToElbow,FailOnTouchObstacleLong,LeftGate
544.6556,546.9445,WristToElbow,FailOnTouchObstacleMed,RightGate
544.9778,545.3889,Hand,FailOnTouchObstacleShort-1,LeftGate
544.9778,545.3889,Hand,FailOnTouchObstacleMed-1,LeftGate
544.9778,545.3889,Hand,FailOnTouchObstacleLong-1,RightGate
545.0555,546.5778,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
545.0555,546.5778,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
545.0555,546.5778,HandToWrist,FailOnTouchObstacleLong-1,RightGate
545.3445,546.3223,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
545.3445,546.3223,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
545.3445,546.3223,WristToElbow,FailOnTouchObstacleLong-1,RightGate
546.005,,Hand,Target,PickedUp
546.2667,546.6223,Hand,FailOnTouchObstacleLong-1,RightGate
546.2667,546.6223,Hand,FailOnTouchObstacleMed-1,LeftGate
546.2667,546.6223,Hand,FailOnTouchObstacleShort-1,LeftGate
546.7778,547.1,HandToWrist,FailOnTouchObstacleLong,LeftGate
546.7778,547.1,HandToWrist,FailOnTouchObstacleMed,RightGate
546.7778,547.1,HandToWrist,FailOnTouchObstacleShort,RightGate
546.9,547.1223,Hand,FailOnTouchObstacleLong,LeftGate
546.9,547.1223,Hand,FailOnTouchObstacleMed,RightGate
546.9,547.1223,Hand,FailOnTouchObstacleShort,RightGate
