time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1025.167,0.3053,0.6509999999999999,-0.4924,342.6394,108.5022,57.519
1025.178,0.3054,0.6512,-0.4924,342.7142,108.4646,57.4216
1025.1889999999999,0.3056,0.6514,-0.4924,342.783,108.3336,57.3118
1025.2,0.3058,0.6517,-0.4925,342.9005,108.2441,57.1361
1025.211,0.3058,0.6521,-0.4927,343.0029,108.1674,56.8565
1025.222,0.306,0.6524,-0.4929,343.04400000000004,108.116,56.5494
1025.233,0.3058,0.6527,-0.4927,343.0495,108.1274,56.0432
1025.245,0.3058,0.6531,-0.4927,342.9923,108.1118,55.5865
1025.256,0.3057,0.6534,-0.4928,342.9148,108.0789,55.2
1025.267,0.3055,0.6535,-0.4928,342.8436,107.96700000000001,54.9123
1025.278,0.3054,0.6537,-0.4928,342.8356,107.8175,54.7274
1025.289,0.3053,0.654,-0.4927,342.9041,107.7111,54.6376
1025.3,0.3053,0.6542,-0.4927,342.9363,107.6154,54.5001
1025.3110000000001,0.3052,0.6543,-0.4931,342.9792,107.5114,54.4194
1025.322,0.305,0.6544,-0.4934,343.0233,107.4706,54.2809
1025.333,0.3051,0.6545,-0.4938,343.0738,107.6318,54.0375
1025.344,0.3052,0.6546,-0.4942,343.1218,107.9402,53.7228
1025.356,0.3052,0.6548,-0.4944,343.1194,108.211,53.4375
1025.367,0.3052,0.6549,-0.4947,343.1356,108.382,53.1833
1025.378,0.3055,0.655,-0.4948,343.105,108.4911,52.9953
1025.389,0.3058,0.655,-0.495,343.0834,108.5447,52.8589
1025.4,0.3059,0.6551,-0.495,343.0776,108.5819,52.7275
1025.411,0.306,0.6551,-0.4949,343.0708,108.6129,52.6203
1025.422,0.3058,0.6553,-0.4948,343.0685,108.6427,52.5412
1025.433,0.3058,0.6553,-0.4945,343.0511,108.6644,52.5424
1025.444,0.3057,0.6551,-0.4944,343.0085,108.6496,52.6065
1025.4560000000001,0.3055,0.6551,-0.4942,342.9726,108.6109,52.6722
1025.4669999999999,0.3057,0.6551,-0.4942,342.9234,108.5734,52.8247
1025.478,0.3056,0.6549,-0.4942,342.8862,108.5228,52.9756
1025.489,0.3055,0.6549,-0.494,342.9075,108.4521,53.2581
1025.5,0.3055,0.6548,-0.494,342.8676,108.4223,53.4836
1025.511,0.3056,0.6546,-0.4938,342.8503,108.3384,53.7474
1025.522,0.3055,0.6544,-0.4937,342.8374,108.2783,53.9382
