time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
899.2,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2111,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2222,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2333,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2444,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2556,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2667,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2778,-0.1275,0.79,0.035,0.0,0.0,0.0
899.2889,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3112,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3223,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3334,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3445,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3556,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3667,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3778,-0.1275,0.79,0.035,0.0,0.0,0.0
899.3889,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4111,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4222,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4333,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4445,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4556,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4667,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4778,-0.1275,0.79,0.035,0.0,0.0,0.0
899.4889,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5111,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5222,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5333,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5445,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5556,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5667,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5778,-0.1275,0.79,0.035,0.0,0.0,0.0
899.5889,-0.1275,0.79,0.035,0.0,0.0,0.0
899.6,-0.1275,0.79,0.035,0.0,0.0,0.0
899.6111,-0.1275,0.79,0.035,0.0,0.0,0.0
899.6223,-0.1275,0.79,0.035,0.0,0.0,0.0
899.6334,-0.1275,0.79,0.035,0.0,0.0,0.0
899.6445,-0.1275,0.79,0.035,0.0,0.0,0.0
